_id,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category
102,Burger King #12195,Toms King (Penn) LLC,4/25/2012,121,Walmart Dr,15137,40.3862120,-79.8218300,Dollar Menu
103,Burger King #12789,Toms King (Penn) LLC,4/25/2012,5240,Library Rd,15102,40.3314390,-80.0231070,Dollar Menu
104,Burger King # 17292,PEC Management LLC,10/13/2009,920,Ohio River Blvd,15202,40.4949870,-80.0662640,Dollar Menu
105,Cafe 4350,AVI Food / Systems,1/29/2013,4350,Northern Pike,15146,40.4247021,-79.7412095,"Breakfast, Drink, Other"
106,Cafe Du Jour,,2/1/2002,1107,E Carson St,15203,40.4288950,-79.9871450,"Breakfast, Drink, Other"
107,Calibrations Cafe,Parkhurst Dining Services Inc,5/8/2015,1,Life Way,15205,40.4398260,-80.1580566,"Breakfast, Drink, Other"
108,CCAC West Hills Cafe,AVI Foodsystems Inc,3/13/2012,1000,McKee Rd,15071,40.4369610,-80.1932370,"Breakfast, Drink, Other"
109,Chan An Restaurant,,9/30/1993,2013,Wharton St,15203,40.4303810,-79.9772630,Take Out
110,Chan An Restaurants,,6/27/1991,37,Walsh Rd,15205,40.4393120,-80.0710780,Take Out
111,Charley's Grilled Subs #170,"Charley's Steakery, Inc.",2/17/2012,200,Monroeville Mall,15146,40.4291830,-79.7954590,Take Out
112,Charley's Grilled Subs #363,CSI,11/1/2011,447,Pittsburgh Mills Cir,15084,40.6378150,-79.7960520,Take Out
113,Charley's Grilled Subs #448,Charley's Steakery Inc,3/8/2012,1000,Ross Park Mall Dr,15237,40.5389690,-80.0077110,Take Out
114,Charley's Grilled Subs #466,Charley's Steakery Inc,10/5/2007,100,Robinson Center Dr,15205,40.4541240,-80.1611640,Take Out
115,Charley's Grilled Subs #472,Janisco Inc,6/14/2007,,Pgh Intl Airport / Ac-02c,15231,40.4953090,-80.2352910,Take Out
116,Charley's Grilled Subs #530,Fap Clairmont LLC,7/14/2008,120,5th Ave,15222,40.4418880,-80.0034430,Take Out
117,Charley's Philly Steaks #4,Charley's Steakery Of Pa,11/16/1989,3075,Clairton Blvd / Century III Mall / Rm 736,15123,40.3402910,-79.9385220,Take Out
118,Chick-Fil-A,OHM Concession Group LLC,4/25/2016,,Pgh Int'L Airport / Ac-20a/B,15231,40.4953090,-80.2352910,NO Dollar Menu
119,Chick-Fil-A,,9/5/2003,121,Costco Dr,15205,40.4578570,-80.1678920,NO Dollar Menu
120,Chick-Fil-A,Chick-Fil-A,7/2/2004,1000,Ross Park Mall Dr,15237,40.5389690,-80.0077110,NO Dollar Menu
121,Chick-Fil-A,Chick-Fil-A Inc,3/9/2007,461,Clairton Blvd,15236,40.3351060,-79.9465150,NO Dollar Menu
122,Chick-Fil-A,Chick-Fil-A,3/1/2008,480,E Waterfront Dr,15120,40.4127000,-79.9079100,NO Dollar Menu
123,Chick-Fil-A #01297,Yanak Hospitality Group LLC,11/2/2015,100,Robinson Center Dr,15205,40.4541240,-80.1611640,NO Dollar Menu
124,Chick-Fil-A #1765,,3/9/2009,1620,Washington Rd,15241,40.3519950,-80.0515410,NO Dollar Menu
125,Chick-Fil-A #2091,Chick-Fil-A,6/12/2007,4040,Wm Penn Hwy / Miracle Mile,15146,40.4377730,-79.7649810,NO Dollar Menu
126,China House,Han & Chow,5/18/1995,2001,Lincoln Way,15131,40.3373640,-79.8053960,Take Out
127,China House II,Hua Yuan Enterprise Inc,8/16/2002,7400,Church St,15218,40.4223070,-79.8893210,Take Out
128,China Max,W & W Restaurant Inc,10/4/2013,100,Robinson Center Dr,15205,40.4541240,-80.1611640,Take Out
129,China Max,Magic Wok Inc,4/23/2010,301,South Hills Village - Fc2,15241,40.3205700,-80.0870150,Take Out
130,China Palace,China Palace Restaurant Inc,8/2/1988,4059,Wm Penn Hwy,15146,40.4402930,-79.7697930,Take Out
131,China Wok,,8/24/1998,1202,5th Ave,15219,40.4384840,-79.9887960,Take Out
132,China Wok Brentwood,China Wok II Inc,6/11/2015,4060,Brownsville Rd,15227,40.3663850,-79.9813750,Take Out
133,Chipotle Mexican Grill #863,Chipotle Mexican Grill,12/12/2006,3619,Forbes Ave,15213,40.4411450,-79.9580280,NO Dollar Menu
134,Chipotle Mexican Grill #877,Chipotle Mexican Grill Inc,8/15/2006,310,McHolme Dr,15275,40.4485060,-80.1742360,NO Dollar Menu
135,Chipotle Mexican Grill #1089,Chipotle Mexican Grill of Colorado LLC,12/18/2008,509,Clairton Blvd,15236,40.3332900,-79.9462590,NO Dollar Menu
136,Chipotle Mexican Grill #1146,Chipotle Mexican Grill of Colorado LLC,11/21/2008,4800,Baum Blvd,15213,40.4542330,-79.9474220,NO Dollar Menu
137,Chipotle Mexican Grill #1264,Chipotle Mexican Grill of Colorado LLC,4/28/2009,4861,McKnight Rd,15237,40.5290660,-80.0087210,NO Dollar Menu
138,Chipotle Mexican Grill #1533,Chipotle Mexican Grill of Colorado LLC,12/8/2010,211,Forbes Av,15222,40.4406140,-80.0018980,NO Dollar Menu
139,Chipotle Mexican Grill #1803,Chipotle Mexican Grill of Colorado LLC,5/16/2012,1614,Cochran Rd,15220,40.3917010,-80.0598610,NO Dollar Menu
140,Chipotle Mexican Grill #1896,Chipotle Mexican Grill of Colorado LLC,3/1/2013,1720,Washington Rd,15241,40.3481440,-80.0538250,NO Dollar Menu
141,Chipotle Mexican Grill #2126,Chipotle Mexican Grill of Colorado LLC,1/20/2014,5986,Centre Av,15206,40.4637320,-79.9206770,NO Dollar Menu
142,Chipotle Mexican Grill #2148,Chipotle Mexican Grill LLC,6/9/2014,11359,Perry Highway,15090,40.6234580,-80.0538340,NO Dollar Menu
143,Chipotle Mexican Grill #2268,Chipotle Mexican Grill Inc,2/24/2016,8870,Covenant Dr,15237,40.5689120,-80.0218140,NO Dollar Menu
144,Chipotle Mexican Grill #2347,Chipotle Mexican Grill Inc,10/27/2015,3009,Washington Pike,15017,40.3543300,-80.1147910,NO Dollar Menu
145,Chipotle Mexican Grill #2347,Chipotle Mexican Grill of Colorado LLC,9/1/2014,4137,William Penn Hwy,15146,40.4391550,-79.7669310,NO Dollar Menu
