stname,tractfips,"estimated smoking prevalence, 2006-2010"
Pennsylvania,42007601800,0.248814493
Pennsylvania,42007601900,0.237819278
Pennsylvania,42007602000,0.224695239
Pennsylvania,42007602100,0.24790306
Pennsylvania,42007602200,0.232748244
Pennsylvania,42007602300,0.179145307
Pennsylvania,42007602400,0.1870355
Pennsylvania,42007602500,0.206519541
Pennsylvania,42007602601,0.221834688
Pennsylvania,42007602602,0.190749276
Pennsylvania,42007602701,0.240916044
Pennsylvania,42007602702,0.252021296
Pennsylvania,42007602800,0.23912003
Pennsylvania,42007602900,0.283038282
Pennsylvania,42007603000,0.255404011
Pennsylvania,42007603100,0.252902429
Pennsylvania,42007603201,0.226166901
Pennsylvania,42007603202,0.211205994
Pennsylvania,42007603300,0.227733555
Pennsylvania,42007603400,0.241991216
Pennsylvania,42007603500,0.271293695
Pennsylvania,42007603600,0.21867125
Pennsylvania,42007603700,0.220184709
Pennsylvania,42007603801,0.234116557
Pennsylvania,42007603802,0.220825412
Pennsylvania,42007603803,0.214541721
Pennsylvania,42007603900,0.217371547
Pennsylvania,42007604000,0.251811196
Pennsylvania,42007604100,0.230323372
Pennsylvania,42007604200,0.209771959
Pennsylvania,42007604300,0.23739274
Pennsylvania,42007604400,0.235526835
Pennsylvania,42007604500,0.175987297
Pennsylvania,42007604600,0.213940951
Pennsylvania,42007604700,0.21894153
Pennsylvania,42007604800,0.22577296
Pennsylvania,42007604901,0.212141609
Pennsylvania,42007604902,0.209094633
Pennsylvania,42007605001,0.268391079
Pennsylvania,42007605002,0.264832501
Pennsylvania,42009980100,0.244294616
Pennsylvania,42009980200,0.257682445
Pennsylvania,42009980300,0.253910833
Pennsylvania,42009980400,0.252241085
Pennsylvania,42009980500,0.266454985
Pennsylvania,42009980600,0.242181925
Pennsylvania,42009980700,0.20542543
Pennsylvania,42009980800,0.225907648
Pennsylvania,42009980900,0.243098969
Pennsylvania,42009981000,0.234546392
Pennsylvania,42009981100,0.24246311
Pennsylvania,42011000100,0.167156593
Pennsylvania,42011000200,0.176956425
Pennsylvania,42011000300,0.216070687
Pennsylvania,42011000400,0.222968325
Pennsylvania,42011000500,0.231834821
Pennsylvania,42011000600,0.182166358
Pennsylvania,42011000700,0.227321444
Pennsylvania,42011000800,0.226278546
Pennsylvania,42011000900,0.2151453
Pennsylvania,42011001000,0.198637986
Pennsylvania,42011001100,0.196589451
Pennsylvania,42011001200,0.165178312
Pennsylvania,42011001300,0.195732228
Pennsylvania,42011001400,0.204307545
Pennsylvania,42011001500,0.236777964
Pennsylvania,42011001600,0.229616112
Pennsylvania,42011001700,0.220050003
Pennsylvania,42011001800,0.215624713
Pennsylvania,42011001900,0.171782084
Pennsylvania,42011002000,0.252189545
Pennsylvania,42011002100,0.219921956
Pennsylvania,42011002200,0.190382099
Pennsylvania,42011002300,0.20366735
Pennsylvania,42011002500,0.150778072
